,0,1
980,980,0
106853,106853,1
31091,31091,0
22531,22531,1
102058,102058,0
43291,43291,1
52933,52933,3
45773,45773,3
82649,82649,3
94480,94480,0
12734,12734,0
113032,113032,0
3804,3804,3
126109,126109,0
80043,80043,3
135010,135010,3
57658,57658,3
46544,46544,3
111351,111351,1
108504,108504,3
65173,65173,0
45438,45438,0
104667,104667,3
100608,100608,3
75294,75294,0
45768,45768,3
70118,70118,0
70117,70117,0
27270,27270,0
128858,128858,3
52567,52567,3
74481,74481,0
80566,80566,3
47581,47581,3
13087,13087,3
89075,89075,1
4568,4568,3
102917,102917,3
49816,49816,0
93483,93483,3
62685,62685,1
74027,74027,0
64858,64858,0
88886,88886,0
20297,20297,3
39145,39145,3
57250,57250,0
73959,73959,0
126652,126652,0
35955,35955,3
5254,5254,3
37017,37017,3
78856,78856,0
119674,119674,3
23111,23111,3
93705,93705,0
132677,132677,3
32855,32855,3
69633,69633,0
575,575,0
82779,82779,1
56730,56730,0
5669,5669,3
134501,134501,1
50152,50152,0
81872,81872,0
7187,7187,3
118111,118111,3
124566,124566,0
55040,55040,0
112876,112876,3
24470,24470,0
82955,82955,0
114787,114787,3
92187,92187,0
125805,125805,0
21379,21379,0
65414,65414,0
91699,91699,3
73676,73676,0
133013,133013,0
65347,65347,1
126070,126070,0
115933,115933,3
41475,41475,0
60351,60351,3
56279,56279,0
53960,53960,0
130185,130185,3
58767,58767,0
101881,101881,3
79927,79927,3
49697,49697,0
116983,116983,0
103373,103373,0
122089,122089,0
104421,104421,1
51867,51867,0
17732,17732,3
9093,9093,3
83498,83498,0
125982,125982,0
101346,101346,0
47772,47772,3
69977,69977,0
106595,106595,0
44753,44753,0
83076,83076,0
80755,80755,1
54829,54829,0
85791,85791,3
110714,110714,3
114171,114171,0
18734,18734,0
81153,81153,0
3483,3483,3
34616,34616,3
86398,86398,3
68432,68432,0
22994,22994,0
50084,50084,1
55948,55948,0
89960,89960,3
84594,84594,3
44413,44413,0
10418,10418,0
30835,30835,0
100660,100660,3
75599,75599,3
95693,95693,3
124896,124896,3
68374,68374,1
17033,17033,0
84810,84810,0
115688,115688,0
29608,29608,0
86440,86440,0
65530,65530,3
41806,41806,0
94095,94095,0
6947,6947,3
55273,55273,0
57160,57160,3
88806,88806,3
99154,99154,3
100206,100206,3
16726,16726,3
99367,99367,0
24852,24852,0
102336,102336,3
67993,67993,0
25245,25245,3
94982,94982,3
54188,54188,3
28354,28354,3
422,422,3
56711,56711,3
63614,63614,0
120132,120132,3
125264,125264,0
114089,114089,0
65157,65157,0
66241,66241,3
61280,61280,0
70523,70523,0
7820,7820,3
114776,114776,0
89005,89005,3
125303,125303,3
94367,94367,3
50527,50527,1
119490,119490,1
41433,41433,3
59854,59854,0
20669,20669,3
59044,59044,3
123544,123544,3
117774,117774,0
48590,48590,0
15200,15200,3
134681,134681,0
80705,80705,0
114179,114179,3
36401,36401,0
10240,10240,0
35101,35101,0
70294,70294,1
104435,104435,0
91978,91978,0
55317,55317,3
99079,99079,0
69242,69242,3
129030,129030,3
110120,110120,0
50631,50631,0
40393,40393,3
43487,43487,3
51367,51367,3
33497,33497,0
92754,92754,0
5652,5652,3
42618,42618,3
13395,13395,0
52875,52875,0
110485,110485,3
201,201,3
119797,119797,3
85663,85663,1
110161,110161,0
53530,53530,1
51927,51927,3
135105,135105,3
41038,41038,3
22898,22898,3
57366,57366,0
48224,48224,3
97907,97907,0
65648,65648,0
10905,10905,0
64018,64018,1
40925,40925,3
14616,14616,1
133235,133235,3
70735,70735,0
9420,9420,1
88210,88210,3
108148,108148,0
41776,41776,3
25447,25447,0
24443,24443,0
61784,61784,3
29923,29923,0
72857,72857,0
69954,69954,0
30026,30026,0
72259,72259,3
32933,32933,0
26740,26740,1
41066,41066,3
134516,134516,0
6832,6832,3
2401,2401,0
71750,71750,0
17109,17109,0
27152,27152,0
32354,32354,0
47618,47618,3
115678,115678,0
95035,95035,3
60565,60565,0
31777,31777,3
94790,94790,0
112494,112494,0
115731,115731,3
103106,103106,0
80763,80763,3
36250,36250,0
26486,26486,0
122500,122500,0
117912,117912,0
36995,36995,0
73115,73115,3
125539,125539,0
106796,106796,3
85446,85446,0
135247,135247,3
115273,115273,3
58853,58853,0
3461,3461,3
134476,134476,0
97042,97042,2
110802,110802,1
86823,86823,0
49254,49254,0
113079,113079,3
108151,108151,0
93403,93403,0
75833,75833,0
24327,24327,0
125662,125662,3
15470,15470,3
37110,37110,0
14804,14804,1
123734,123734,0
117191,117191,0
17303,17303,3
10890,10890,0
112784,112784,0
96995,96995,2
102909,102909,0
61744,61744,0
125224,125224,1
59814,59814,3
70381,70381,0
10898,10898,3
84530,84530,0
22668,22668,0
37931,37931,0
72766,72766,3
46742,46742,0
124247,124247,0
123369,123369,0
76590,76590,0
128222,128222,3
75873,75873,3
92031,92031,0
14324,14324,1
6095,6095,3
36356,36356,3
72098,72098,1
51708,51708,0
9750,9750,0
59955,59955,1
25687,25687,0
53889,53889,0
25612,25612,0
100437,100437,0
71024,71024,3
