,2,27,36,37
107620,0.23529411764705882,1.0,0.0,0.0
81592,0.23529411764705882,1.0,0.0,0.0
114355,0.7058823529411764,0.07,1.0,1.0
59856,0.7058823529411764,0.05,1.0,1.0
5295,0.7058823529411764,1.0,1.0,1.0
134634,0.7058823529411764,0.05,1.0,1.0
34016,0.23529411764705882,1.0,0.0,0.0
53330,0.8823529411764706,0.12,0.0,0.0
4409,0.7058823529411764,1.0,1.0,1.0
86392,0.23529411764705882,1.0,0.0,0.0
42464,0.7058823529411764,0.05,1.0,1.0
36217,0.23529411764705882,1.0,0.0,0.0
67075,0.23529411764705882,1.0,0.0,0.0
28357,0.7058823529411764,1.0,1.0,1.0
105413,0.23529411764705882,1.0,0.0,0.0
72317,0.23529411764705882,1.0,0.0,0.0
3683,0.7058823529411764,1.0,1.0,1.0
35362,0.23529411764705882,1.0,0.03,0.0
8070,0.7058823529411764,1.0,1.0,1.0
27830,0.23529411764705882,1.0,0.0,0.0
61035,0.23529411764705882,1.0,0.0,0.0
4391,0.7058823529411764,1.0,1.0,1.0
38859,1.0,1.0,0.03,0.0
9718,0.23529411764705882,1.0,0.0,0.0
102229,0.8823529411764706,1.0,0.0,0.0
71428,0.23529411764705882,1.0,0.0,0.0
61232,0.8823529411764706,1.0,0.0,0.0
48937,0.23529411764705882,1.0,0.02,0.0
86241,0.23529411764705882,0.01,0.01,0.0
350,0.8823529411764706,0.5,0.0,0.0
96564,0.8823529411764706,0.0,1.0,1.0
16014,0.23529411764705882,1.0,0.0,0.0
48886,0.23529411764705882,1.0,0.01,0.01
32649,0.23529411764705882,1.0,0.0,0.0
127856,0.8823529411764706,0.0,0.02,0.0
79589,0.23529411764705882,1.0,0.0,0.0
126530,0.7058823529411764,0.05,1.0,1.0
119211,0.23529411764705882,1.0,0.0,0.0
106517,0.23529411764705882,1.0,0.0,0.0
40028,0.23529411764705882,1.0,0.0,0.0
65998,0.23529411764705882,1.0,0.49,0.0
44497,0.23529411764705882,1.0,0.0,0.0
40254,0.23529411764705882,1.0,0.0,0.0
1850,0.23529411764705882,1.0,0.01,0.01
57801,0.23529411764705882,1.0,0.0,0.0
106705,0.7058823529411764,0.25,1.0,1.0
112720,0.23529411764705882,1.0,0.0,0.0
41708,0.7058823529411764,0.09,1.0,1.0
9567,0.23529411764705882,1.0,0.0,0.0
132259,0.23529411764705882,1.0,0.0,0.0
3365,0.23529411764705882,1.0,0.0,0.0
37532,0.23529411764705882,1.0,0.0,0.0
21216,0.23529411764705882,1.0,0.0,0.0
89850,0.7058823529411764,1.0,1.0,1.0
121043,0.23529411764705882,1.0,0.0,0.0
17894,0.23529411764705882,1.0,0.0,0.0
94486,0.23529411764705882,1.0,0.0,0.0
120706,0.7058823529411764,0.03,1.0,1.0
74267,0.23529411764705882,1.0,0.05,0.0
128225,0.23529411764705882,1.0,0.0,0.0
7745,0.7058823529411764,1.0,1.0,1.0
83920,0.23529411764705882,1.0,0.5,0.0
118469,0.23529411764705882,0.39,0.0,0.0
117826,0.23529411764705882,1.0,0.0,0.0
121034,0.23529411764705882,1.0,0.0,0.0
97259,0.23529411764705882,0.5,0.99,0.5
1164,0.7058823529411764,0.08,1.0,1.0
119712,0.7058823529411764,0.06,1.0,1.0
8137,0.7058823529411764,1.0,1.0,1.0
13862,0.23529411764705882,1.0,0.0,0.0
77515,0.23529411764705882,1.0,0.0,0.0
89412,0.23529411764705882,1.0,0.0,0.0
16771,0.23529411764705882,1.0,0.0,0.0
105655,0.23529411764705882,1.0,0.0,0.0
56898,0.23529411764705882,1.0,0.0,0.0
94704,0.8823529411764706,0.0,0.08,0.0
88106,0.8823529411764706,0.0,0.08,0.0
90418,0.23529411764705882,1.0,0.0,0.0
125913,0.23529411764705882,0.25,0.16,0.0
72369,0.23529411764705882,1.0,0.0,0.0
51556,0.9411764705882353,0.05,0.0,0.0
77857,0.8823529411764706,0.0,0.08,0.0
43820,0.8823529411764706,0.03,0.0,0.0
51719,0.23529411764705882,0.02,0.0,0.0
79441,0.23529411764705882,1.0,0.0,0.0
20422,0.23529411764705882,1.0,0.0,0.0
28124,0.7058823529411764,1.0,1.0,1.0
36444,0.8823529411764706,0.0,0.33,0.0
98477,0.7058823529411764,0.11,1.0,1.0
135519,0.8823529411764706,0.06,0.0,0.0
66727,0.23529411764705882,1.0,0.0,0.0
38659,0.8823529411764706,1.0,0.0,0.0
77449,0.23529411764705882,1.0,0.0,0.0
24822,0.23529411764705882,1.0,0.0,0.0
126151,0.23529411764705882,1.0,0.0,0.0
845,0.23529411764705882,1.0,0.0,0.0
38020,0.23529411764705882,0.17,0.0,0.0
75576,0.23529411764705882,1.0,0.0,0.0
72688,0.23529411764705882,1.0,0.0,0.0
75417,0.23529411764705882,1.0,0.0,0.0
24834,0.23529411764705882,0.04,0.0,0.0
120664,0.23529411764705882,1.0,0.0,0.0
28341,0.7058823529411764,1.0,1.0,1.0
38113,0.23529411764705882,1.0,0.0,0.0
71942,0.7058823529411764,0.03,1.0,1.0
41147,0.23529411764705882,1.0,0.0,0.0
96278,0.8823529411764706,0.0,0.97,1.0
61952,0.23529411764705882,1.0,0.0,0.0
111267,0.23529411764705882,1.0,0.0,0.0
120628,0.7058823529411764,0.26,1.0,1.0
88860,0.8823529411764706,0.05,0.0,0.0
45597,0.7058823529411764,0.04,1.0,1.0
106531,0.7058823529411764,0.12,1.0,1.0
2395,0.23529411764705882,1.0,0.0,0.0
43635,0.7058823529411764,0.1,1.0,1.0
45380,0.9411764705882353,0.01,0.0,0.0
93571,0.9411764705882353,0.0,0.0,0.0
104319,0.23529411764705882,1.0,0.01,0.0
3213,0.7058823529411764,0.18,1.0,1.0
69458,0.7058823529411764,0.01,1.0,1.0
28566,0.7058823529411764,1.0,1.0,1.0
60891,0.23529411764705882,1.0,0.0,0.0
14080,0.23529411764705882,0.33,0.0,0.0
7238,0.7058823529411764,1.0,1.0,1.0
126934,0.8823529411764706,0.07,0.0,0.0
49939,0.23529411764705882,1.0,0.0,0.0
52781,0.8823529411764706,0.02,0.0,0.0
13182,1.0,1.0,0.0,0.0
10859,0.23529411764705882,1.0,0.0,0.0
80653,0.7058823529411764,0.27,1.0,1.0
70701,0.23529411764705882,1.0,0.0,0.0
92338,0.8823529411764706,1.0,0.0,0.0
70533,0.23529411764705882,1.0,0.0,0.0
86516,0.23529411764705882,1.0,0.0,0.0
15230,1.0,1.0,0.0,0.0
100298,0.7058823529411764,0.02,1.0,1.0
16155,0.23529411764705882,1.0,0.0,0.0
119298,0.23529411764705882,1.0,0.0,0.0
117940,0.8823529411764706,0.0,0.08,0.0
52080,0.7058823529411764,0.09,1.0,1.0
5355,0.7058823529411764,1.0,1.0,1.0
36106,0.8823529411764706,0.16,0.0,0.0
112933,0.23529411764705882,1.0,0.0,0.0
95536,0.7058823529411764,0.02,1.0,1.0
67412,0.23529411764705882,1.0,0.01,0.0
43788,0.23529411764705882,1.0,0.0,0.0
47280,0.23529411764705882,1.0,0.0,0.0
112992,0.23529411764705882,1.0,0.0,0.0
116608,0.23529411764705882,1.0,0.0,0.0
112997,0.7058823529411764,0.08,1.0,1.0
91280,0.7058823529411764,0.12,1.0,1.0
92324,0.23529411764705882,1.0,0.0,0.0
58505,0.8823529411764706,0.03,0.0,0.0
51928,0.7058823529411764,0.05,1.0,1.0
105989,0.7058823529411764,0.06,1.0,1.0
96429,0.8823529411764706,0.0,0.99,1.0
29844,0.23529411764705882,1.0,0.0,0.0
108913,0.23529411764705882,1.0,0.0,0.0
102347,0.23529411764705882,1.0,0.0,0.0
65537,0.7058823529411764,0.07,1.0,1.0
54460,0.23529411764705882,1.0,0.0,0.0
56558,0.23529411764705882,1.0,0.0,0.0
31898,0.23529411764705882,1.0,0.0,0.0
17378,0.23529411764705882,1.0,0.0,0.0
116117,0.7058823529411764,0.05,1.0,1.0
7388,0.7058823529411764,1.0,1.0,1.0
100308,0.23529411764705882,1.0,0.0,0.0
19478,0.23529411764705882,1.0,0.0,0.0
79417,0.23529411764705882,1.0,0.0,0.0
8831,0.23529411764705882,1.0,0.0,0.0
60032,0.23529411764705882,1.0,0.0,0.0
57523,0.23529411764705882,1.0,0.0,0.0
17384,0.23529411764705882,1.0,0.0,0.0
11969,0.8823529411764706,0.0,0.15,0.0
45077,0.23529411764705882,1.0,0.0,0.0
18394,0.23529411764705882,1.0,0.0,0.0
94708,0.23529411764705882,1.0,0.0,0.0
94947,0.7058823529411764,0.09,1.0,1.0
126111,0.23529411764705882,1.0,0.0,0.0
61102,0.8823529411764706,0.07,0.0,0.0
63039,0.23529411764705882,1.0,0.38,0.0
40562,0.23529411764705882,1.0,0.25,0.01
17207,0.23529411764705882,1.0,0.0,0.0
4633,0.7058823529411764,1.0,1.0,1.0
17439,0.8823529411764706,1.0,0.0,0.0
120322,0.23529411764705882,1.0,0.0,0.0
69980,0.8823529411764706,1.0,0.0,0.0
119736,0.23529411764705882,1.0,0.01,0.01
96021,0.23529411764705882,1.0,0.0,0.0
64153,0.7058823529411764,0.02,1.0,1.0
92213,0.23529411764705882,1.0,0.0,0.0
67288,0.7058823529411764,0.07,1.0,1.0
40089,0.8823529411764706,0.0,0.0,0.0
12840,0.7058823529411764,0.02,1.0,1.0
87125,0.23529411764705882,1.0,0.0,0.0
122945,0.23529411764705882,1.0,0.0,0.0
96750,0.8823529411764706,0.0,1.0,1.0
39630,0.23529411764705882,1.0,0.0,0.0
33128,0.23529411764705882,1.0,0.0,0.0
126006,0.7058823529411764,0.0,1.0,1.0
51637,0.23529411764705882,1.0,0.0,0.0
69309,0.23529411764705882,1.0,0.0,0.0
74266,0.23529411764705882,1.0,0.0,0.0
46288,0.23529411764705882,1.0,0.0,0.0
90789,0.23529411764705882,1.0,0.0,0.0
42891,0.8823529411764706,0.0,0.27,0.0
59976,0.7058823529411764,0.01,1.0,1.0
32596,0.23529411764705882,1.0,0.0,0.0
97922,0.23529411764705882,1.0,0.0,0.0
71077,0.23529411764705882,1.0,0.0,0.0
