,Unnamed: 0,2,27,36,37
76116,12771,0.2352941176470588,0.98,0.0,0.0
55433,112827,0.7058823529411764,0.05,1.0,1.0
13468,86502,0.2352941176470588,1.0,0.0,0.0
25815,11376,0.2352941176470588,1.0,0.0,0.0
62455,17178,0.2352941176470588,1.0,0.0,0.0
72292,111145,0.7058823529411764,0.07,1.0,1.0
48107,83539,0.8823529411764706,1.0,0.0,0.0
39331,67325,0.2352941176470588,1.0,0.0,0.0
72068,119342,0.7058823529411764,0.08,1.0,1.0
48173,14214,0.7058823529411764,0.05,1.0,1.0
85027,21869,0.8823529411764706,0.0,0.13,0.0
54922,130183,0.2352941176470588,1.0,0.0,0.0
53484,59229,0.2352941176470588,1.0,0.0,0.0
779,84178,0.2352941176470588,1.0,0.0,0.0
35648,36449,0.2352941176470588,1.0,0.0,0.0
13517,19038,0.2352941176470588,1.0,0.0,0.0
40932,96192,0.8823529411764706,0.02,0.85,1.0
34471,68746,0.2352941176470588,1.0,0.0,0.0
4093,76532,0.2352941176470588,1.0,0.0,0.0
62400,51253,0.7058823529411764,0.16,1.0,1.0
41236,75469,0.2352941176470588,1.0,0.0,0.0
69011,49192,0.2352941176470588,1.0,0.0,0.0
6665,78507,0.7058823529411764,0.11,1.0,1.0
38415,92058,0.7058823529411764,0.08,1.0,1.0
62504,87393,0.7058823529411764,0.03,1.0,1.0
28079,763,0.8823529411764706,0.04,0.0,0.0
1682,39532,0.8823529411764706,0.11,0.0,0.0
37234,54005,0.2352941176470588,1.0,0.0,0.0
18365,91129,0.7058823529411764,0.01,1.0,1.0
4801,53398,0.2352941176470588,1.0,0.0,0.0
46681,114900,0.7058823529411764,0.08,1.0,1.0
87566,55393,0.7058823529411764,0.17,1.0,1.0
66263,99742,0.8823529411764706,1.0,0.0,0.0
33658,11329,0.2352941176470588,1.0,0.0,0.0
82162,23956,0.2352941176470588,1.0,0.0,0.0
63863,89619,0.2352941176470588,1.0,0.0,0.0
24847,47300,0.2352941176470588,1.0,0.0,0.0
46268,70081,0.8823529411764706,1.0,0.0,0.01
37415,18470,0.7058823529411764,0.15,1.0,1.0
9856,96686,0.8823529411764706,0.0,1.0,1.0
51914,122040,0.7058823529411764,0.16,1.0,1.0
58887,21663,1.0,1.0,0.0,0.0
24328,29148,0.7058823529411764,1.0,1.0,1.0
50286,34497,0.8823529411764706,0.1,0.0,0.0
54724,131163,0.2352941176470588,1.0,0.0,0.0
43575,92373,0.7058823529411764,0.06,1.0,1.0
41297,82321,0.7058823529411764,0.08,1.0,1.0
83733,32230,0.7058823529411764,0.05,1.0,1.0
67152,100353,0.2352941176470588,1.0,0.0,0.0
399,99948,0.2352941176470588,1.0,0.0,0.0
54772,6932,0.7058823529411764,1.0,1.0,1.0
20433,74390,0.2352941176470588,1.0,0.0,0.0
78796,92438,0.2352941176470588,1.0,0.0,0.0
